sampleID,fruitID,tree,totalphenolics,dglucose,fructose,proteins,F,B,D,E,A,G,H,I,J,C,alkenylphenols
T11F6,18,11,0.643042298,2.049358342,15.49901283,0.443019974,1.507761249,1.076096876,0,1.535296909,0,0,0,0.133810781,0,0,4.252965814
T11F7,19,11,0.715603,8.1775571,5.33571003,0.563433541,0.736478929,0.528174329,0,0.725486883,0,0,0,0,0,0,1.990140142
T11F8,20,11,0.923198405,11.04182359,17.22023786,0.692678052,3.239596435,2.280527443,0,2.941574605,0,0,0,0.225041021,0,0,8.686739505
T11F9,21,11,0.840170019,6.982217782,6.622477522,0.580257589,2.658530922,1.78410588,0,2.498979571,0,0,0,0.211302445,0,0,7.152918818
T1F3,22,1,0.613149582,10.26444008,11.85848723,0.360654772,10.51178389,8.864158232,1.263947328,4.186774284,3.496965658,0.606931721,0.337525884,0.486715492,0.301528091,0,30.05633058
T1F5,23,1,0.597455389,9.373705179,11.18982072,0.430028939,8.758451283,6.522373518,0.780072657,3.003801185,2.299085226,0.554096689,0.278912025,0.377385891,0.239680609,0,22.81385908
T1F6,24,1,1.03065741,8.555885262,9.524866469,0.465948412,15.22366936,12.26734931,1.865950507,5.956144161,3.878832298,0.770088614,0.627997555,0.71649833,0.376508699,0.518338907,42.20137775
T1F7,25,1,0.465368536,9.439589744,11.66578462,0.401136431,7.634587468,5.9127171,0.723609239,2.715905659,2.565110719,0.627433589,0.361949152,0,0.193948034,0,20.73526096
T1F8,26,1,0.721942228,13.96569122,17.25136226,0.585219439,6.13063781,4.628390081,0.635882299,2.527714918,0,0.77537001,0.289162423,0.297739044,0,0,15.28489658
T2F1,27,2,0.689722847,19.88028028,24.0981982,0.517955801,7.550794741,5.344403794,1.163461325,2.759875063,2.261099729,0.627774952,0.316080061,0.35394374,0.239415185,0,20.61684859
T2F2,28,2,0.644633082,13.9638171,17.20222664,0.467260927,3.973714146,2.280237388,0.522529491,1.477416605,1.040221337,0.409191697,0.190384127,0.201355539,0.124993779,0,10.22004411
T3F1,29,3,0.713828008,11.03385827,12.29391732,0.43714132,3.630803482,2.87319496,0.694502583,1.785614389,0,0.821369129,0.412003818,0.255954991,0.118157489,0,10.59160084
T3F2,30,3,0.621657099,10.50357143,12.18380952,0.534510169,4.002522252,3.27412284,0.804230994,2.193035034,3.898952961,1.030164883,0.421496124,0,0.125258685,0,15.74978377
T5F1,31,5,0.743799639,14.10534813,15.13895055,0.5349826,18.00815964,12.31423898,3.394796304,7.654961966,4.21474358,1.002788335,0.5776075,1.018172876,0.502480396,0,48.68794958
T5F2,32,5,0.599432362,13.84,15.84006,0.607432279,5.041042915,3.844377141,0.808390412,2.54973196,2.123514303,0.997305902,0.435528355,0.337910762,0.16720661,0,16.30500836
T5F3,33,5,0.607914454,9.668662675,13.23173653,0.496911093,4.942044426,3.530900487,0.762826134,2.351382208,2.830978158,0.90206243,0.354824268,0.331726927,0.157652781,0,16.16439782
